hhid,hhgroup,sample_segment,sample_county,final_cnty,cityofredmond,cityofseattle,psrc,final_home_tract,final_home_bg,final_home_puma10,final_home_rgcnum,final_home_uvnum,final_home_taz2010,travelweek,traveldate,dayofweek,hhsize,vehicle_count,numadults,numchildren,numworkers,lifecycle,hhincome_detailed,hhincome_followup,hhincome_broad,car_share,rent_own,res_dur,res_type,res_months,offpark,offpark_cost,streetpark,prev_home_wa,prev_home_tract,prev_home_bg,prev_home_puma10,prev_home_rgcname,prev_home_taz2010,prev_home_notwa_notus,prev_home_notwa_city,prev_home_notwa_zip,prev_home_notwa_state,prev_rent_own,prev_res_type,res_factors_30min,res_factors_afford,res_factors_closefam,res_factors_hhchange,res_factors_hwy,res_factors_school,res_factors_space,res_factors_transit,res_factors_walk,rmove_optin,diary_incentive_type,extra_incentive,call_center,mobile_device,contact_email,contact_phone,foreign_language,google_translate,recruit_start_pt,recruit_end_pt,recruit_duration_min,numdayscomplete,day1complete,day2complete,day3complete,day4complete,day5complete,day6complete,day7complete,num_trips,nwkdays,hh_wt_revised,hh_day_wt_revised
17112361,2,2,Pierce,3,0,0,1,53053060800,530530608003,11501,1,0,2789,4,4/25/17,3,2,3,2,0,2,8,5,,3,2,1,7,1,1,4,0,1,,,,,,,,,,,,,5,5,5,2,4,5,5,3,5,,4,0,0,0,,,0,0,59:44.7,13:18.6,14,1,1,,,,,,,12,1,546.9,546.9
17112427,2,54,King,1,0,1,0,53033009300,530330093001,11605,1,24,649,7,5/16/17,3,2,1,2,0,0,8,9,,5,2,1,1,4,1,5,0,1,2,,,,,,0,los angeles,90012,5,2,4,5,5,5,4,4,5,5,5,5,,4,0,0,0,,,0,0,02:25.6,15:38.2,13,1,1,,,,,,,2,1,16.0903554,16.0903554
17112447,2,53,King,1,0,1,0,53033004400,530330044002,11602,24,36,219,8,5/25/17,5,1,1,1,0,1,3,4,,2,2,2,2,4,1,1,60,3,2,,,,,,0,atherton,,5,2,4,4,4,4,4,4,3,4,4,4,2,1,0,0,0,,,0,0,33:41.5,52:39.9,19,1,1,,,,,,,3,1,25.45942995,25.45942995
17112448,2,43,King,1,1,0,0,53033032309,530330323092,11607,16,0,1676,8,5/23/17,3,2,1,2,0,1,6,5,,3,2,2,3,4,1,10,70,1,2,,,,,,1,,,,4,5,5,5,3,2,5,2,4,3,4,,1,1,0,0,1,0,1,0,28:06.9,53:59.8,1405,1,1,,,,,,,5,1,4.312812966,4.312812966
17112455,1,12,King,1,0,0,1,53033010500,530330105001,11605,1,0,733,7,5/16/17,3,1,1,1,0,1,4,7,,5,2,1,7,1,1,2,0,1,,,,,,,,,,,,,5,5,1,1,1,1,5,5,5,1,,0,0,0,1,0,0,0,22:06.9,31:53.1,9,6,1,1,1,1,1,1,0,20,3,198.9290351,66.30967837
17112468,2,3,King,1,0,0,1,53033024100,530330241003,11608,1,0,1593,1,4/6/17,5,3,5,3,0,0,7,7,,5,2,1,6,1,1,6,0,1,,,,,,,,,,,,,3,2,2,1,4,5,1,2,5,,4,0,0,0,1,0,0,0,35:42.3,51:59.1,16,1,1,,,,,,,4,1,564.835863,564.835863
17112471,2,51,King,1,0,1,0,53033007500,530330075001,11604,21,9,425,2,4/11/17,3,1,0,1,0,0,5,2,,1,2,2,3,4,1,0,,3,2,,,,,,0,Milwaukee,53101,,2,4,4,5,4,3,1,3,3,5,5,,2,0,0,0,1,0,0,0,13:38.6,18:24.3,5,1,1,,,,,,,5,1,26.82921493,26.82921493
17112484,2,53,King,1,0,1,0,53033004400,530330044004,11602,24,36,281,6,5/9/17,3,3,1,3,0,2,6,2,,1,2,5,3,4,1,10,0,2,1,53033005302,530330053023,11602,Seattle University Community,302,,,,,2,7,1,1,3,3,3,3,3,3,3,,1,0,0,0,1,0,0,0,06:30.5,18:16.8,12,1,1,,,,,,,2,1,588.6,588.6
17112496,2,52,King,1,0,1,0,53033010900,530330109002,11605,1,18,761,9,5/31/17,4,1,1,1,0,1,4,6,,4,2,2,5,1,1,1,0,1,,,,,,,,,,,,,5,5,5,2,4,1,4,4,3,,1,1,0,0,1,0,0,0,38:27.2,45:11.5,7,1,1,,,,,,,2,1,22.46319249,22.46319249
17112505,1,32,King,1,1,0,0,53033022803,530330228033,11607,17,0,1612,9,5/30/17,3,2,1,2,0,2,6,9,,5,2,2,1,4,1,1,75,3,1,53033023803,530330238032,11608,Bellevue,1552,,,,,2,4,5,5,3,3,4,3,3,3,4,1,,0,0,1,1,0,0,0,57:33.6,22:23.6,25,5,1,1,1,0,1,0,1,59,4,12.225,3.056250001
17112540,2,51,King,1,0,1,0,53033007402,530330074023,11603,21,28,429,6,5/11/17,5,1,1,1,0,1,3,4,,2,2,2,1,4,1,9,150,3,1,53033006600,530330066001,11603,Seattle First Hill/Capitol Hill,428,,,,,2,4,5,5,4,1,2,1,4,4,5,,1,0,0,0,1,0,0,0,19:59.5,27:21.5,8,1,1,,,,,,,3,1,23.98119762,23.98119762
17112554,1,31,King,1,1,0,0,53033022605,530330226053,11607,1,0,1672,9,5/30/17,3,2,1,2,0,1,7,1,,1,2,2,1,4,1,1,40,3,1,53061051100,530610511003,11701,,2651,,,,,4,1,5,5,3,3,4,3,1,5,4,1,,0,0,0,1,0,0,0,49:26.1,00:47.3,11,6,1,1,0,1,1,1,1,117,3,157.8,52.59999998
17112564,1,58,King,1,0,1,0,53033008100,530330081003,11603,20,12,499,2,4/11/17,3,1,0,1,0,1,3,1,,1,1,2,1,4,1,0,,3,2,,,,,,0,Ithaca,,32,2,4,5,5,5,1,1,1,1,5,4,1,,0,0,0,1,0,0,0,16:19.2,29:07.8,13,7,1,1,1,1,1,1,1,20,4,128.7580743,32.18951857
17112575,1,54,King,1,0,1,0,53033009800,530330098001,11605,1,3,683,2,4/11/17,3,1,1,1,0,1,4,6,,4,2,2,4,4,1,10,80,1,1,53033025400,530330254001,11610,,1402,,,,,5,1,5,4,3,1,4,1,3,4,4,1,,0,0,0,1,0,0,0,42:30.9,50:17.4,8,7,1,1,1,1,1,1,1,19,4,15.62421812,3.906054531
17112581,2,13,Kitsap,2,0,0,1,53035090900,530350909004,11801,1,0,3690,8,5/24/17,4,1,1,1,0,1,4,7,,5,2,1,7,1,1,3,0,3,,,,,,,,,,,,,4,3,4,1,4,4,5,2,4,2,4,1,1,0,,,0,0,02:08.2,12:13.8,10,1,1,,,,,,,0,1,213.8713309,213.8713309
17112611,2,52,King,1,0,1,0,53033003600,530330036004,11601,1,19,176,2,4/12/17,4,1,1,1,0,0,5,2,,1,2,2,6,4,1,10,0,1,,,,,,,,,,,,,1,5,5,1,1,1,4,5,5,2,4,0,0,0,1,0,0,0,30:59.4,53:04.0,23,1,1,,,,,,,4,1,30.51340299,30.51340299
17112637,2,51,King,1,0,1,0,53033008002,530330080022,11603,20,7,458,8,5/25/17,5,1,0,1,0,1,4,4,,2,2,2,2,4,1,10,0,1,2,,,,,,0,Jacksonville Beach,32250,9,1,1,5,4,5,3,1,1,3,5,5,,1,1,0,1,1,0,0,0,33:23.1,19:33.3,946,1,1,,,,,,,3,1,63.66185017,63.66185017
17112644,2,12,King,1,0,0,1,53033030600,530330306003,11614,2,0,1178,6,5/10/17,4,1,1,1,0,1,4,2,,1,2,2,2,4,1,10,0,3,1,53033030600,530330306003,11614,Auburn,1178,,,,,2,1,4,5,3,3,4,3,4,3,2,,4,0,0,0,1,0,0,0,24:03.6,06:26.3,42,1,1,,,,,,,3,1,4298.081365,4298.081365
17112650,1,51,King,1,0,1,0,53033008001,530330080014,11603,20,7,451,3,4/18/17,3,2,1,2,0,1,6,8,,5,2,2,4,4,1,10,300,1,1,53033024902,530330249023,11608,,1478,,,,,2,1,5,4,3,3,4,3,3,5,5,1,,0,0,0,1,0,1,0,35:49.5,10:37.5,35,6,1,1,1,1,1,1,0,75,3,26.85861377,8.952871257
17112653,1,52,King,1,0,1,0,53033010900,530330109002,11605,1,18,761,7,5/16/17,3,1,1,1,0,1,4,5,,3,2,1,5,1,1,0,,1,,,,,,,,,,,,,5,5,4,1,4,1,1,5,5,1,,0,0,1,1,0,0,0,33:46.4,45:39.6,12,3,0,1,1,0,1,0,0,41,2,22.28540434,11.14270217
17112678,2,50,King,1,0,1,0,53033007100,530330071001,11603,25,38,442,5,5/3/17,4,1,1,1,0,1,3,8,,5,2,1,3,4,1,2,0,3,1,53033024400,530330244002,11609,,1492,,,,,2,3,5,5,4,5,3,4,4,4,5,,2,0,0,0,1,0,0,0,58:51.4,08:49.4,10,1,1,,,,,,,4,1,379.7936736,379.7936736
17112690,2,3,Snohomish,4,0,0,1,53061052204,530610522043,11705,1,0,2440,7,5/17/17,4,4,2,2,2,2,2,7,,5,2,1,6,1,1,2,0,1,,,,,,,,,,,,,2,5,4,3,3,3,4,2,3,,1,1,0,1,1,0,0,0,46:48.3,55:46.2,9,1,1,,,,,,,11,1,639.487484,639.487484
17112795,1,53,King,1,0,1,0,53033005302,530330053021,11602,24,36,305,4,4/25/17,3,1,1,1,0,1,3,2,,1,2,2,1,4,1,0,,3,2,,,,,,0,Gettysburg,,38,2,3,4,5,1,1,2,1,4,4,5,1,,0,0,0,1,0,0,0,22:48.6,31:51.5,9,5,0,1,1,1,1,1,0,33,2,25.86474515,12.93237258
17112800,2,2,Kitsap,2,0,0,1,53035090202,530350902022,11801,1,0,3480,7,5/18/17,5,2,2,2,0,1,7,11,6,6,2,1,7,1,1,4,0,3,,,,,,,,,,,,,4,4,3,3,4,5,5,3,4,,1,1,0,0,1,0,0,0,37:11.7,46:13.7,9,1,1,,,,,,,4,1,546.9,546.9
17112805,2,51,King,1,0,1,0,53033007900,530330079004,11604,21,28,556,2,4/13/17,5,1,0,1,0,1,4,3,,2,2,2,6,4,1,8,0,3,,,,,,,,,,,,,2,5,4,3,2,3,3,5,5,,2,0,0,0,0,1,0,0,34:44.3,54:47.0,20,1,1,,,,,,,3,1,25.07485447,25.07485447
17112810,1,55,King,1,0,1,0,53033011402,530330114022,11605,1,41,830,3,4/18/17,3,1,1,1,0,1,4,3,,2,2,2,4,3,1,0,,1,1,53033009702,530330097025,11605,,681,,,,,1,1,1,5,1,1,5,1,1,1,4,1,,0,0,1,1,0,0,0,46:42.7,02:34.0,16,7,1,1,1,1,1,1,1,39,4,16.12564207,4.031410517
17112826,2,58,King,1,0,1,0,53033008100,530330081003,11603,20,12,509,2,4/11/17,3,1,0,1,0,1,4,11,5,5,1,1,7,4,2,10,250,3,,,,,,,,,,,,,5,2,3,3,2,3,3,5,5,,4,0,0,0,,,0,0,31:42.0,39:39.5,8,1,1,,,,,,,4,1,17.60109019,17.60109019
17112827,2,43,King,1,1,0,0,53033032309,530330323092,11607,16,0,1656,6,5/11/17,5,2,1,2,0,2,6,8,,5,2,2,2,4,1,1,85,1,1,53033022801,530330228011,11608,,1630,,,,,2,4,5,4,2,1,5,1,4,1,5,,2,1,0,1,1,0,0,0,05:22.2,15:32.4,10,1,1,,,,,,,6,1,4.275,4.275
17112839,2,23,King,1,1,0,0,53033022902,530330229023,11607,1,0,1623,8,5/24/17,4,2,2,2,0,2,7,7,,5,2,1,6,1,1,2,0,1,,,,,,,,,,,,,4,3,3,4,4,4,2,3,3,,1,0,0,0,1,0,0,0,28:45.0,51:18.3,23,1,1,,,,,,,8,1,23.875,23.875
17112866,1,31,King,1,1,0,0,53033022605,530330226053,11607,16,0,1672,5,5/2/17,3,1,1,1,0,1,3,6,,4,2,1,5,4,1,1,0,3,,,,,,,,,,,,,5,5,4,5,4,3,5,4,4,1,,0,0,0,1,0,0,0,58:41.4,06:18.0,8,5,0,1,1,1,0,1,1,36,3,6.575,2.191666667
17112933,2,2,Pierce,3,0,0,1,53053071407,530530714071,11507,1,0,3431,7,5/16/17,3,2,0,2,0,1,6,2,,1,2,2,1,4,1,10,0,1,1,53053071409,530530714091,11504,,3400,,,,,4,2,4,5,4,5,3,1,3,3,5,,1,1,0,1,1,0,0,0,11:04.4,20:46.7,9,1,1,,,,,,,6,1,546.9,546.9
17112977,2,58,King,1,0,1,0,53033009100,530330091002,11603,20,10,628,1,4/5/17,4,1,0,1,0,1,4,2,,1,2,2,5,4,1,0,,4,,,,,,,,,,,,,5,5,4,3,5,3,3,5,5,2,1,0,0,1,1,0,0,0,08:04.0,20:56.2,12,1,1,,,,,,,2,1,40.3484292,40.3484292
17112995,2,51,King,1,0,1,0,53033007500,530330075003,11604,21,9,425,1,4/6/17,5,2,1,2,0,2,6,4,,2,2,2,3,4,1,10,75,2,1,53033005400,530330054003,11601,,318,,,,,2,3,5,5,4,5,3,3,4,5,5,2,1,0,0,0,1,0,0,0,34:41.6,43:44.8,9,1,1,,,,,,,6,1,34.72693648,34.72693648
17113006,2,31,King,1,1,0,0,53033022605,530330226053,11607,1,0,1672,8,5/23/17,3,2,1,2,0,1,6,11,6,6,2,2,1,4,1,0,,4,1,53033023201,530330232013,11608,,1568,,,,,2,4,5,4,5,5,5,5,4,5,5,,1,0,0,0,1,0,0,0,18:50.6,18:29.3,7260,1,1,,,,,,,10,1,6.632671544,6.632671544
17113014,2,55,King,1,0,1,0,53033011402,530330114021,11605,1,41,797,9,6/1/17,5,1,1,1,0,1,3,4,,2,2,1,1,4,1,10,0,1,2,,,,,,0,New york,,32,2,2,5,4,4,3,4,3,3,4,5,,2,0,0,1,1,0,0,0,14:41.0,24:20.3,10,1,1,,,,,,,3,1,47.95795306,47.95795306
17113031,2,55,King,1,0,1,0,53033000401,530330004011,11601,1,8,4,1,4/4/17,3,1,1,1,0,1,3,4,,2,2,2,1,4,1,0,,1,1,53033005301,530330053012,11602,Seattle University Community,284,,,,,2,4,4,4,4,3,4,3,3,4,4,2,1,0,0,0,0,1,0,0,02:33.9,08:58.6,6,1,1,,,,,,,4,1,13.46888838,13.46888838
17113049,1,50,King,1,0,1,0,53033008200,530330082001,11603,21,16,506,2,4/11/17,3,2,1,2,0,2,6,5,,3,2,2,1,4,1,1,250,3,2,,,,,,0,mobile,,1,4,1,5,5,1,1,4,1,4,4,5,1,,0,0,0,1,0,0,0,53:40.9,03:26.6,10,7,1,1,1,1,1,1,1,58,4,46.32466794,11.58116698
17113063,2,11,King,1,0,0,1,53033025302,530330253022,11610,18,0,1352,7,5/17/17,4,1,1,1,0,1,4,6,,4,2,1,5,4,1,10,0,1,,,,,,,,,,,,,5,5,5,5,3,3,4,4,5,,2,0,0,1,1,0,0,0,50:28.5,58:35.5,8,1,1,,,,,,,2,1,894.2383428,894.2383428
17113064,1,51,King,1,0,1,0,53033007402,530330074021,11603,21,0,429,5,5/2/17,3,2,2,2,0,2,6,9,,5,2,1,4,4,1,1,0,3,1,53033006500,530330065002,11604,Seattle First Hill/Capitol Hill,407,,,,,2,4,4,1,5,1,4,1,3,5,5,1,,0,0,0,1,0,0,0,28:49.7,39:32.3,11,3,0,0,1,0,1,0,1,84,2,456.772535,228.3862675
17113078,2,2,Pierce,3,0,0,1,53053071208,530530712083,11506,1,0,3378,6,5/9/17,3,1,1,1,0,0,5,5,,3,2,1,7,1,1,1,0,3,,,,,,,,,,,,,2,4,3,3,4,4,3,3,3,,1,0,0,0,1,0,0,0,15:27.4,29:40.6,14,1,1,,,,,,,2,1,570.5362226,570.5362226
17113084,2,55,King,1,0,1,0,53033011402,530330114022,11605,1,41,831,5,5/3/17,4,2,1,2,0,2,7,11,6,6,2,1,3,1,1,10,0,1,1,53033004301,530330043012,11602,,213,,,,,2,1,2,2,3,2,2,2,2,1,2,,2,0,0,0,1,0,0,0,05:24.9,22:07.6,17,1,1,,,,,,,4,1,14.30498054,14.30498054
17113107,2,51,King,1,0,1,0,53033003200,530330032003,11601,1,5,246,3,4/18/17,3,2,1,2,0,2,7,11,6,6,2,1,4,2,1,1,0,1,1,53033008800,530330088002,11604,,594,,,,,2,4,4,5,3,3,3,1,4,5,5,,4,0,0,0,1,0,0,0,33:48.7,47:28.7,14,1,1,,,,,,,5,1,23.225,23.225
17113124,1,55,King,1,0,1,0,53033009500,530330095002,11604,1,25,642,8,5/23/17,3,3,2,2,1,2,1,7,,5,2,1,5,1,1,1,0,1,,,,,,,,,,,,,1,2,3,3,1,2,2,2,2,1,,0,0,0,1,0,0,0,45:34.7,58:24.5,13,1,0,1,0,0,0,0,0,47,1,13.85459743,13.85459743
17113177,2,23,King,1,1,0,0,53033022606,530330226061,11607,1,0,1659,7,5/18/17,5,1,1,1,0,1,4,11,6,6,2,1,7,1,1,1,0,1,,,,,,,,,,,,,5,4,4,1,4,1,5,3,4,2,2,0,0,0,1,0,0,0,04:18.9,12:35.4,8,1,1,,,,,,,5,1,23.875,23.875
17113243,2,51,King,1,0,1,0,53033003300,530330033003,11601,1,5,239,1,4/4/17,3,2,0,2,0,2,6,5,,3,2,2,3,4,1,10,80,1,1,53033003300,530330033002,11601,,237,,,,,2,3,4,5,4,1,1,1,2,5,5,2,1,0,0,0,1,0,0,0,43:47.4,05:28.9,22,1,1,,,,,,,7,1,387.8545317,387.8545317
17113260,1,3,Snohomish,4,0,0,1,53061052107,530610521071,11704,1,0,2538,4,4/25/17,3,2,2,2,0,2,7,11,6,6,2,1,1,1,4,2,0,1,1,53033032319,530330323193,11616,,1793,,,,,1,1,1,1,3,3,2,2,1,3,1,1,,0,0,0,1,0,0,0,02:31.6,22:57.9,20,7,1,1,1,1,1,1,1,55,4,492.9513649,123.2378412
17113267,2,52,King,1,0,1,0,53033001800,530330018001,11601,1,4,94,8,5/25/17,5,2,2,2,0,2,7,8,,5,2,1,7,1,1,2,0,1,,,,,,,,,,,,,5,4,4,5,4,1,4,3,3,,1,0,0,0,1,0,0,0,35:26.2,49:42.6,14,1,1,,,,,,,6,1,20.775,20.775
17113269,2,31,King,1,1,0,0,53033032313,530330323134,11607,1,0,1930,5,5/2/17,3,4,2,2,2,2,2,11,6,6,2,1,6,1,1,2,0,4,,,,,,,,,,,,,5,5,4,3,3,4,3,3,4,,1,0,0,0,1,0,0,0,19:51.0,36:49.1,17,1,1,,,,,,,14,1,6.575,6.575
17113278,2,55,King,1,0,1,0,53033000401,530330004013,11601,1,8,4,9,5/31/17,4,2,2,2,0,1,8,11,3,3,2,1,5,4,1,2,0,1,,,,,,,,,,,,,4,5,1,1,3,1,4,3,2,,3,0,0,0,,,0,0,56:55.6,27:30.8,31,1,1,,,,,,,4,1,14.97734608,14.97734608
17113294,2,11,Pierce,3,0,0,1,53053071410,530530714102,11504,1,0,3357,3,4/20/17,5,2,1,2,0,0,8,3,,2,2,1,6,5,1,1,0,1,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,,4,0,0,0,,,0,0,03:36.1,15:49.7,12,1,1,,,,,,,2,1,270.7134403,270.7134403
17113300,1,51,King,1,0,1,0,53033007402,530330074022,11603,21,28,552,8,5/23/17,3,1,0,1,0,1,3,7,,5,2,2,4,4,1,0,,3,2,,,,,,0,los angeles,,5,2,4,4,4,5,1,3,1,3,5,5,1,,0,0,0,1,0,0,0,04:54.1,12:11.3,8,2,1,1,0,0,0,0,0,14,2,49.85621998,24.92811
17113317,2,2,King,1,0,0,1,53033022604,530330226042,11607,1,0,1662,4,4/25/17,3,4,3,4,0,2,7,11,6,6,2,1,5,1,1,6,0,1,,,,,,,,,,,,,4,4,3,3,4,5,3,3,3,,1,0,0,0,1,0,0,0,10:33.9,58:36.4,588,1,1,,,,,,,5,1,2195.393782,2195.393782
17113372,2,52,King,1,0,1,0,53033008700,530330087002,11604,1,2,599,4,4/26/17,4,3,1,2,1,2,2,5,,3,2,1,5,3,1,1,0,1,,,,,,,,,,,,,5,5,3,2,4,5,4,1,3,2,1,0,0,0,1,0,0,0,58:44.5,09:45.1,11,1,1,,,,,,,6,1,23.6775047,23.6775047
17113430,2,55,King,1,0,1,0,53033001200,530330012003,11602,22,26,67,7,5/16/17,3,1,0,1,0,0,5,3,,2,2,1,7,4,1,1,0,1,,,,,,,,,,,,,5,5,5,3,1,1,5,5,5,,4,1,0,1,1,0,0,0,02:04.1,19:00.0,17,1,1,,,,,,,3,1,17.89199976,17.89199976
17113433,2,2,Pierce,3,0,0,1,53053070403,530530704032,11507,1,0,3413,7,5/16/17,3,2,1,2,0,0,8,7,,5,2,1,5,5,4,4,0,1,,,,,,,,,,,,,1,5,3,1,4,1,4,1,4,,3,1,1,0,,,0,0,10:16.2,19:27.0,9,1,1,,,,,,,8,1,556.6646286,556.6646286
17113447,2,50,King,1,0,1,0,53033007100,530330071002,11603,25,38,440,1,4/5/17,4,2,1,2,0,2,6,7,,5,1,2,4,4,1,10,175,3,1,53033007100,530330071002,11603,Seattle Uptown,443,,,,,2,4,4,5,4,3,3,1,1,5,5,2,2,0,0,0,1,0,0,0,36:10.2,46:22.9,10,1,1,,,,,,,8,1,49.37966563,49.37966563
17113481,2,52,King,1,0,1,0,53033009300,530330093002,11605,1,18,631,6,5/11/17,5,2,1,2,0,2,7,4,,2,2,3,4,4,1,1,0,3,1,53033007402,530330074023,11603,Seattle First Hill/Capitol Hill,547,,,,,3,4,5,5,4,1,5,1,1,5,5,,1,0,0,0,1,0,0,0,44:47.0,59:36.9,15,1,1,,,,,,,14,1,22.90450642,22.90450642
17113484,1,51,King,1,0,1,0,53033007402,530330074021,11603,21,9,427,2,4/11/17,3,2,1,2,0,2,6,5,,3,2,2,2,4,1,0,,3,1,53033007401,530330074014,11603,Seattle First Hill/Capitol Hill,428,,,,,2,4,5,5,4,3,3,3,4,5,5,1,,0,0,0,1,0,0,0,53:58.2,06:44.3,13,6,1,1,1,1,0,1,1,74,4,23.82842083,5.957105208
17113495,2,33,King,1,1,0,0,53033022902,530330229024,11607,1,0,1623,7,5/16/17,3,2,2,2,0,1,7,6,,4,2,1,2,2,1,2,0,3,2,,,,,,1,,,,1,4,5,4,3,3,3,3,3,3,4,2,1,0,0,1,1,0,0,0,09:47.8,34:00.7,25,1,1,,,,,,,10,1,12.79738152,12.79738152
17113499,2,55,King,1,0,1,0,53033005400,530330054003,11601,1,17,314,6,5/9/17,3,1,1,1,0,1,3,5,,3,2,2,2,4,1,1,125,3,2,,,,,,0,Grand Rapids ,,22,2,3,5,3,4,1,3,1,2,4,5,2,1,0,0,1,1,0,0,0,25:07.5,31:12.8,6,1,1,,,,,,,6,1,13.47119545,13.47119545
17113541,2,51,King,1,0,1,0,53033005000,530330050003,11601,1,39,316,6,5/11/17,5,1,1,1,0,1,4,5,,3,2,2,6,4,1,1,0,1,,,,,,,,,,,,,4,5,2,1,2,1,3,5,5,,2,0,0,0,1,0,0,0,28:09.2,47:01.7,19,1,1,,,,,,,4,1,23.25423746,23.25423746
17113544,1,51,King,1,0,1,0,53033007402,530330074021,11603,21,9,429,6,5/9/17,3,2,1,2,0,1,6,5,,3,2,2,2,4,1,1,125,3,2,,,,,,0,,60630,,2,4,5,4,1,1,2,1,1,4,5,1,,0,0,1,1,0,0,0,32:20.3,45:06.2,13,6,1,0,1,1,1,1,1,57,3,25.77394618,8.591315393
17113558,1,56,King,1,0,1,0,53033009800,530330098004,11605,1,40,697,7,5/16/17,3,2,1,2,0,1,7,6,,4,2,2,4,4,1,6,0,1,2,,,,,,0,Nampa,,12,1,1,5,5,4,4,3,1,3,4,5,1,,0,0,0,1,0,0,0,50:30.0,01:15.6,11,6,1,1,1,1,1,0,1,76,4,9.318034986,2.329508747
17113576,2,32,King,1,1,0,0,53033022803,530330228033,11607,17,0,1612,6,5/9/17,3,2,1,2,0,0,8,11,6,6,2,2,2,6,1,1,75,3,1,53033022603,530330226034,11607,,1699,,,,,2,4,3,1,1,1,3,3,1,3,2,,1,0,0,0,1,0,0,0,50:38.3,03:48.4,13,1,1,,,,,,,5,1,12.59909537,12.59909537
17113577,2,22,King,1,1,0,0,53033032324,530330323241,11607,1,0,1678,5,5/2/17,3,4,2,2,2,1,2,8,,5,2,1,5,1,1,4,0,1,,,,,,,,,,,,,2,5,4,5,4,3,4,3,4,2,1,0,0,0,1,1,0,0,06:22.3,17:45.6,11,1,1,,,,,,,15,1,16.1,16.1
17113612,2,3,King,1,0,0,1,53033025102,530330251023,11610,1,0,1387,1,4/6/17,5,6,4,4,2,2,2,8,,5,2,1,4,1,1,6,0,1,1,53033025102,530330251023,11610,,1390,,,,,1,1,5,3,4,4,4,5,5,2,2,,1,0,0,0,1,0,0,0,32:22.7,44:54.7,12,1,1,,,,,,,16,1,506.6276222,506.6276222
17113689,2,2,King,1,0,0,1,53033029303,530330293033,11610,1,0,1307,3,4/18/17,3,3,3,3,0,3,7,8,,5,2,2,1,1,1,4,0,1,2,,,,,,0,Peoria,85382,3,1,1,4,4,3,1,4,2,4,3,2,2,1,0,0,0,,,0,0,16:21.6,39:22.0,23,1,1,,,,,,,4,1,608.3979106,608.3979106
17113705,2,54,King,1,0,1,0,53033003000,530330030002,11601,1,13,143,2,4/11/17,3,2,1,2,0,1,7,7,,5,2,1,4,1,1,1,0,1,1,53033009900,530330099004,11605,,685,,,,,1,4,3,5,1,3,2,1,5,4,5,,1,0,0,0,1,0,0,0,54:26.4,12:58.8,18,1,1,,,,,,,6,1,14.45,14.45
17113721,1,13,King,1,0,0,1,53033004500,530330045002,11602,1,0,225,9,5/30/17,3,2,1,2,0,2,8,8,,5,2,1,7,1,1,1,0,1,,,,,,,,,,,,,5,4,1,5,1,1,4,4,4,1,,0,0,0,1,0,0,0,04:29.9,16:10.6,12,4,0,0,1,1,0,1,1,35,2,257.0875078,128.5437539
17113750,2,1,Pierce,3,0,0,1,53053070703,530530707031,11505,1,0,3134,7,5/16/17,3,2,2,2,0,0,8,5,,3,2,1,7,1,1,0,,1,,,,,,,,,,,,,1,5,4,3,5,5,1,4,4,,1,1,1,0,1,1,0,0,44:48.0,59:41.7,15,1,1,,,,,,,14,1,482.6467448,482.6467448
17113755,2,1,Snohomish,4,0,0,1,53061053602,530610536024,11705,1,0,2215,6,5/9/17,3,2,3,2,0,0,8,4,,2,2,1,6,1,1,3,0,3,,,,,,,,,,,,,1,5,2,1,3,1,5,1,1,,4,0,0,0,1,0,0,0,47:28.6,03:56.7,16,1,1,,,,,,,5,1,939.5356989,939.5356989
17113757,2,54,King,1,0,1,0,53033008100,530330081002,11603,20,29,501,2,4/12/17,4,1,0,1,0,1,5,11,6,6,2,2,6,4,1,0,,3,,,,,,,,,,,,,1,1,3,3,3,3,2,1,2,,4,0,0,0,,,0,0,46:27.6,57:34.2,11,1,1,,,,,,,0,1,80.64780256,80.64780256
17113794,2,42,King,1,1,0,0,53033032309,530330323091,11607,1,0,1657,5,5/2/17,3,1,1,1,0,1,4,8,,5,2,2,3,4,1,10,50,3,1,53033032325,530330323252,11607,,1679,,,,,2,4,5,4,5,3,5,1,2,5,5,,1,1,0,0,1,0,0,0,48:59.7,02:42.7,14,1,1,,,,,,,0,1,2.65,2.65
17113799,2,57,King,1,0,1,0,53033002600,530330026003,11602,1,32,182,5,5/4/17,5,1,1,1,0,1,3,6,,4,2,1,1,2,1,10,20,1,2,,,,,,0,,90024,,2,7,5,5,4,4,4,1,3,4,3,,1,0,0,1,1,0,0,0,17:39.7,25:14.8,8,1,1,,,,,,,3,1,7.194492045,7.194492045
17113801,2,51,King,1,0,1,0,53033008001,530330080014,11603,20,7,451,8,5/24/17,4,1,1,1,0,0,5,10,,5,2,2,3,4,1,1,250,1,1,53033008001,530330080014,11603,Seattle Downtown,452,,,,,2,4,3,4,4,1,4,1,4,4,5,2,1,1,0,0,1,0,0,0,59:12.0,06:38.9,7,1,1,,,,,,,9,1,151.9303823,151.9303823
17113823,2,57,King,1,0,1,0,53033002600,530330026003,11602,1,32,184,7,5/17/17,4,2,1,2,0,2,7,8,,5,1,1,5,1,1,0,,1,,,,,,,,,,,,,5,5,3,3,1,3,4,5,5,2,1,0,0,0,,,0,0,17:27.7,26:17.0,9,1,1,,,,,,,6,1,6.975,6.975
