hhid,personid,pernum,sample_segment,hhgroup,traveldate,relationship,proxy_parent,proxy,age,gender,employment,jobs_count,worker,student,schooltype,education,license,vehicleused,smartphone_type,smartphone_age,smartphone_qualified,race_afam,race_aiak,race_asian,race_hapi,race_hisp,race_white,race_other,race_noanswer,workplace,hours_work,commute_freq,commute_mode,commute_dur,telecommute_freq,wpktyp,workpass,workpass_cost,workpass_cost_dk,work_county,work_tract,work_bg,work_puma10,work_rgcname,work_taz2010,prev_work_wa,prev_work_county,prev_work_notwa_city,prev_work_notwa_zip,prev_work_tract,prev_work_bg,prev_work_puma10,prev_work_rgcname,prev_work_taz2010,prev_work_notwa_state,prev_work_notwa_notus,school_freq,school_loc_county,school_tract,school_bg,school_puma10,school_rgcname,school_taz2010,completed_pref_survey,mode_freq_1,mode_freq_2,mode_freq_3,mode_freq_4,mode_freq_5,tran_pass_1,tran_pass_2,tran_pass_3,tran_pass_4,tran_pass_5,tran_pass_6,tran_pass_7,tran_pass_8,tran_pass_9,tran_pass_10,tran_pass_11,tran_pass_12,benefits_1,benefits_2,benefits_3,benefits_4,av_interest_1,av_interest_2,av_interest_3,av_interest_4,av_interest_5,av_interest_6,av_interest_7,av_concern_1,av_concern_2,av_concern_3,av_concern_4,av_concern_5,wbt_transitmore_1,wbt_transitmore_2,wbt_transitmore_3,wbt_bikemore_1,wbt_bikemore_2,wbt_bikemore_3,wbt_bikemore_4,wbt_bikemore_5,rmove_incentive,call_center,mobile_device,num_trips,nwkdays,hh_wt_final,hh_day_wt_final
17114267,1711426701,1,2,2,5/4/17,0,,1,7,2,1,2,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,5,9,1,5,,,King County,53033026200,530330262001,11611,Tukwila,974,,,,,,,,,,,,,,,,,,,1,7,7,1,7,7,,,,,,,,,,,,,3,1,1,1,2,5,1,3,1,2,2,2,2,1,1,3,4,3,4,4,4,4,4,4,,0,0,7,1,546.9683623,546.9683623
17114267,1711426702,2,2,2,5/4/17,2,,3,3,2,,,0,,97,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Pierce County,53053063200,530530632001,11504,,3254,1,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,1,546.9683623,546.9683623
17114315,1711431501,1,31,2,5/4/17,0,,1,5,1,7,,0,3,6,6,1,1,2,2,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,King County,53033022605,530330226051,11607,,1703,1,7,7,5,7,7,,,,,,,,,,,,,,,,,1,1,,,1,1,1,4,5,4,3,1,5,5,5,5,5,5,5,5,,0,0,4,1,157.3526367,157.3526367
17114315,1711431502,2,31,2,5/4/17,6,,3,5,1,7,,0,3,6,2,1,13,5,,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033022605,530330226051,11607,,1703,1,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,157.3526367,157.3526367
17114315,1711431503,3,31,2,5/4/17,6,,3,5,1,7,,0,3,6,6,3,,5,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033022605,530330226051,11607,,1703,1,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,157.3526367,157.3526367
17114315,1711431504,4,31,2,5/4/17,6,,3,5,1,7,,0,3,6,2,1,12,5,,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033022605,530330226051,11607,,1703,1,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,157.3526367,157.3526367
17114332,1711433201,1,51,2,5/23/17,0,,1,6,2,1,1,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,3,1,2,10,1,5,,,Snohomish County,53061051400,530610514003,11701,,2590,1,Snohomish County,,,53061051400,530610514003,11701,,2590,,,,,,,,,,1,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,,1,1,1,1,3,4,3,3,2,2,5,3,2,2,3,3,,,,,,,,,,0,0,0,1,24.0345111,24.0345111
17114332,1711433202,2,51,2,5/23/17,1,,1,6,1,1,1,1,1,,7,1,13,2,2,1,0,0,0,0,0,1,0,0,1,3,2,8,4,10,,,,,King County,53033023804,530330238041,11608,Bellevue,1544,2,,LEBANON,,,,,,,29,0,,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,4,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,5,5,5,5,5,,0,0,0,1,24.0345111,24.0345111
17114407,1711440701,1,51,2,4/20/17,0,,1,7,1,1,1,1,1,,1,1,1,1,2,1,0,0,0,0,0,1,0,0,1,2,2,8,5,8,,,,,King County,53033032309,530330323092,11607,Redmond Downtown,1655,,,,,,,,,,,,,,,,,,,1,1,6,2,7,7,2,3,1,3,3,3,3,3,3,2,3,,4,4,3,4,5,5,1,5,5,5,5,2,2,3,1,1,,,,-9999,-9999,-9999,-9999,-9999,,0,0,2,1,25.10237177,25.10237177
17114410,1711441001,1,51,1,4/25/17,0,0,1,6,1,1,1,1,1,,7,1,1,1,2,1,0,0,0,0,0,1,0,0,1,3,2,2,1,7,2,5,,,King County,53033004900,530330049002,11601,,321,2,,Ithaca,,,,,,,32,0,,,,,,,,1,4,7,3,7,4,2,2,1,3,3,3,3,3,3,3,3,,3,2,3,2,3,3,3,3,3,3,3,3,1,2,1,1,3,2,2,5,5,5,5,4,1,0,1,31,2,23.225,11.6125
17114410,1711441002,2,51,1,4/25/17,1,0,1,6,2,1,1,1,1,,6,1,1,2,2,1,0,0,1,0,0,0,0,0,1,3,2,2,1,8,7,6,,,King County,53033004900,530330049002,11601,,321,2,,Burlington,,,,,,,21,0,,,,,,,,1,4,7,3,7,4,1,2,3,3,3,3,3,3,3,3,3,,1,1,1,1,3,3,3,3,3,3,3,2,1,2,2,1,3,3,3,5,5,5,5,5,1,0,0,12,2,23.225,11.6125
17114422,1711442201,1,11,2,4/26/17,0,,1,6,1,1,1,1,1,,6,1,2,1,2,1,0,0,0,0,0,1,0,0,1,2,2,8,1,7,,,,,King County,53033008002,530330080021,11603,Seattle Downtown,482,1,King County,,,53033007300,530330073003,11603,Seattle South Lake Union,432,,,,,,,,,,1,2,6,3,7,7,2,3,1,3,3,3,3,3,3,3,3,,2,1,3,2,1,2,2,4,1,3,1,4,5,4,4,2,,,,-9999,-9999,-9999,-9999,-9999,,0,0,2,1,267.425,267.425
17114422,1711442202,2,11,2,4/26/17,1,,3,6,2,1,1,1,1,,6,1,1,1,2,1,0,0,1,0,0,0,0,0,1,2,3,1,5,9,1,5,,,King County,53033030313,530330303132,11612,,1137,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,267.425,267.425
17114426,1711442601,1,52,2,4/19/17,0,,1,7,1,1,1,1,1,,7,1,1,1,2,1,0,0,0,0,0,0,0,1,1,2,2,8,6,7,,,,,King County,53033008100,530330081002,11603,Seattle Downtown,512,,,,,,,,,,,,,,,,,,,1,2,7,3,7,5,2,2,1,3,3,3,3,3,3,3,3,,2,2,3,4,2,3,2,3,5,5,2,1,1,1,1,1,,,,-9999,-9999,-9999,-9999,-9999,,0,0,2,1,22.12435198,22.12435198
17114426,1711442602,2,52,2,4/19/17,1,,1,6,2,7,,0,1,,6,1,1,2,2,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,3,7,6,2,3,3,3,3,3,3,3,3,3,3,,,,,,5,5,,,5,5,5,1,1,1,1,1,2,2,2,6,6,6,6,6,,0,0,2,1,22.12435198,22.12435198
17114460,1711446001,1,13,2,6/1/17,0,,1,9,2,3,1,1,1,,3,1,1,1,2,1,0,0,0,0,0,1,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,3,7,7,,,,,,,,,,,,,,,,,5,5,,,5,5,5,3,3,3,3,3,3,4,3,5,5,5,5,5,,0,0,4,1,212.6,212.6
17114460,1711446002,2,13,2,6/1/17,2,,3,7,2,1,1,1,1,,6,1,2,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,2,8,1,5,,,King County,53033030501,530330305011,11614,Auburn,1176,1,King County,,,53033023804,530330238043,11608,Bellevue,1553,,,,,,,,,,1,7,7,5,7,7,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,212.6,212.6
17114461,1711446101,1,51,2,5/23/17,0,,1,10,1,6,,0,1,,2,1,1,6,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,1,7,7,1,2,2,2,2,2,2,2,2,2,2,,,,,,5,4,,,5,5,5,1,1,1,1,1,4,4,4,5,5,5,5,5,,1,0,8,1,69.29514817,69.29514817
17114462,1711446201,1,11,1,4/18/17,0,1,1,6,2,1,1,1,1,,3,1,2,1,2,1,0,0,0,0,1,1,0,0,1,2,2,1,4,9,1,5,,,Snohomish County,53061041811,530610418113,11702,,2481,1,Whatcom County,,,,,,,,,,,,,,,,,1,6,6,3,6,6,,,,,,,,,,,,,1,1,1,2,2,2,2,3,3,3,2,2,2,2,2,2,5,5,5,5,5,5,5,5,2,0,1,49,4,267.425,66.85625
17114462,1711446202,2,11,1,4/18/17,2,0,3,4,2,,0,0,,3,,1,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Snohomish County,53061051601,530610516014,11701,,2508,1,6,6,4,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,10,4,267.425,66.85625
17114479,1711447901,1,43,2,5/24/17,0,,1,6,1,1,1,1,1,,6,1,1,1,2,1,0,0,1,0,0,0,0,0,1,2,2,8,3,7,,,,,King County,53033009300,530330093002,11605,Seattle Downtown,632,2,,,,,,,,,,1,,,,,,,,1,2,7,2,7,7,2,3,1,3,3,3,3,3,3,3,3,,2,1,3,1,1,4,5,5,5,1,1,1,1,1,1,1,,,,-9999,-9999,-9999,-9999,-9999,,0,1,4,1,4.538433403,4.538433403
17114479,1711447902,2,43,2,5/24/17,1,,2,6,2,5,,0,1,,6,3,,2,2,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,3,7,7,,,,,,,,,,,,,,,,,1,4,,,5,1,1,1,1,1,1,1,6,6,6,5,5,5,5,5,,0,1,2,1,4.538433403,4.538433403
17114492,1711449201,1,58,2,5/23/17,0,,1,9,2,1,1,1,1,,3,1,11,2,2,1,0,0,0,0,0,1,0,0,1,2,2,8,1,9,,,,,King County,53033026200,530330262001,11611,Tukwila,972,1,King County,,,53033007100,530330071002,11603,Seattle Uptown,441,,,,,,,,,,1,1,3,1,6,5,2,2,1,3,3,3,3,3,3,3,3,,1,1,3,1,2,6,5,2,2,2,2,1,1,1,1,1,,,,-9999,-9999,-9999,-9999,-9999,,0,0,4,1,17.56441895,17.56441895
17114497,1711449701,1,53,1,5/30/17,0,0,3,5,2,1,1,1,1,,6,1,,2,2,1,0,0,0,0,0,1,0,0,1,2,2,12,2,9,,,,,King County,53033008100,530330081002,11603,Seattle Downtown,501,1,King County,,,53033005302,530330053022,11602,Seattle University Community,305,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,32,4,25.74899768,6.43724942
17114506,1711450601,1,55,2,4/13/17,0,,1,6,2,1,1,1,1,,6,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,2,1,1,9,1,5,,,King County,53033005802,530330058023,11603,,390,1,King County,,,53033010900,530330109001,11605,,807,,,,,,,,,,1,6,6,6,7,7,,,,,,,,,,,,,1,1,1,1,3,3,3,3,3,3,3,3,1,3,1,2,4,4,4,5,5,5,5,5,,0,0,2,1,13.05874366,13.05874366
17114508,1711450801,1,3,1,5/30/17,0,1,1,8,1,1,1,1,1,,6,1,1,2,2,1,0,0,0,0,1,0,0,0,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,5,4,7,6,,,,,,,,,,,,,2,1,1,1,1,2,,,1,1,1,4,1,4,4,4,6,6,6,2,2,1,2,1,1,0,0,49,4,591.2282486,147.8070622
17114508,1711450802,2,3,1,5/30/17,1,0,2,8,2,2,3,1,1,,2,1,2,2,2,1,0,0,0,0,1,0,0,0,2,5,4,1,,9,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,6,5,7,3,,,,,,,,,,,,,1,1,1,1,3,5,5,2,3,4,2,3,1,2,1,2,6,6,4,4,4,4,4,5,1,0,0,62,4,591.2282486,147.8070622
17114508,1711450803,3,3,1,5/30/17,2,0,3,2,1,,,0,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033022006,530330220061,11607,,1696,1,7,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,34,4,591.2282486,147.8070622
17114508,1711450804,4,3,1,5/30/17,2,0,3,3,2,,,0,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033022201,530330222013,11607,,1725,1,7,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,31,4,591.2282486,147.8070622
17114513,1711451301,1,3,2,4/18/17,0,,1,8,1,1,1,1,1,,3,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,4,1,4,5,1,5,,,Snohomish County,53061051925,530610519252,11704,Bothell Canyon Park,2564,1,Snohomish County,,,53061051925,530610519253,11704,,2561,,,,,,,,,,1,5,6,6,7,6,1,2,1,3,3,3,3,3,3,3,3,,3,1,2,2,5,5,5,5,5,5,5,2,2,2,2,2,6,4,4,4,3,4,4,6,,0,0,4,1,3642.377065,3642.377065
17114513,1711451302,2,3,2,4/18/17,1,,2,8,2,1,1,1,1,,5,1,2,2,2,1,0,0,0,0,0,1,0,0,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,6,7,6,1,2,2,3,3,3,3,3,3,3,3,,3,1,4,4,5,5,,,5,5,5,2,2,2,2,2,5,5,5,5,5,5,5,5,,0,0,7,1,3642.377065,3642.377065
17114518,1711451801,1,11,1,4/25/17,0,0,1,6,2,1,1,1,3,6,6,1,1,2,2,1,0,0,0,0,1,0,0,0,1,2,2,12,1,10,,,,,King County,53033007300,530330073003,11603,Seattle South Lake Union,433,1,King County,,,53033007300,530330073003,11603,Seattle Downtown,488,,,8,,,,,,,1,4,6,5,7,6,2,3,1,3,3,3,3,3,3,3,3,,3,4,4,4,3,1,4,4,2,2,2,1,1,1,1,1,1,2,2,4,4,4,4,4,1,0,1,22,4,271.2071391,67.80178478
17114543,1711454301,1,56,1,5/2/17,0,0,1,9,2,1,1,1,1,,7,1,1,2,2,1,0,0,1,0,0,0,0,0,1,2,2,6,5,8,,,,,King County,53033006600,530330066001,11603,Seattle South Lake Union,406,,,,,,,,,,,,,,,,,,,1,4,1,4,5,6,2,3,1,3,3,3,3,3,3,3,3,,3,2,3,3,5,5,5,5,5,5,5,2,2,2,1,2,6,3,3,,,,,,2,0,0,37,4,8.834886875,2.208721719
17114544,1711454401,1,52,1,4/25/17,0,1,1,7,2,1,1,1,1,,7,1,1,1,2,1,1,0,0,0,0,1,0,0,1,1,2,1,5,9,5,1,300,0,King County,53033008100,530330081002,11603,Seattle Downtown,542,,,,,,,,,,,,,,,,,,,1,6,7,4,7,5,,,,,,,,,,,,,2,2,3,2,4,2,1,4,1,2,1,1,1,1,1,1,4,4,4,5,5,5,5,5,1,0,0,34,4,498.6,124.65
17114544,1711454402,2,52,1,4/25/17,1,0,2,7,1,1,1,1,1,,7,1,2,1,2,1,0,0,0,0,0,1,0,0,1,3,2,1,6,9,1,5,,,King County,53033022605,530330226051,11607,,1703,,,,,,,,,,,,,,,,,,,1,6,6,5,7,6,,,,,,,,,,,,,1,1,4,3,6,6,1,5,1,2,2,1,2,1,1,1,5,5,5,5,5,5,5,5,1,0,0,22,4,498.6,124.65
17114544,1711454403,3,52,1,4/25/17,2,0,3,2,1,,,0,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033001400,530330014002,11601,,41,1,6,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,21,4,498.6,124.65
17114556,1711455601,1,50,1,5/16/17,0,0,1,10,2,2,1,1,1,,6,1,,1,2,1,0,0,0,0,0,1,0,0,1,4,4,8,4,9,,,,,King County,53033008100,530330081002,11603,Seattle Downtown,501,1,King County,,,53033022803,530330228033,11607,,1613,,,,,,,,,,1,2,6,3,6,7,2,3,1,3,1,3,3,3,3,3,3,,1,1,4,4,3,2,6,6,5,4,2,3,3,2,2,2,,,,-9999,-9999,-9999,-9999,-9999,1,0,1,22,2,211.1201978,105.5600989
17114568,1711456801,1,23,2,4/18/17,0,,1,7,1,1,1,1,1,,7,1,1,2,2,1,0,0,0,0,0,0,0,1,1,1,1,1,3,9,1,5,,,King County,53033022803,530330228033,11607,,1613,2,,Davis,,,,,,,5,0,,,,,,,,1,7,1,1,7,7,,,,,,,,,,,,,3,1,3,4,1,1,1,1,5,1,1,1,2,2,1,1,1,1,1,,,,,,,0,0,2,1,24.52756462,24.52756462
17114568,1711456802,2,23,2,4/18/17,1,,1,7,2,1,1,1,1,,7,1,2,2,1,0,0,0,0,0,0,0,0,1,1,3,2,8,2,9,,,,,King County,53033005302,530330053022,11602,Seattle University Community,303,2,,Davis,,,,,,,5,0,,,,,,,,1,3,1,1,7,7,2,3,1,3,3,3,3,3,3,3,3,,1,1,3,1,1,1,1,1,4,1,1,2,3,2,2,2,1,1,1,,,,,,,0,0,4,1,24.52756462,24.52756462
17114572,1711457201,1,57,1,5/23/17,0,0,1,5,2,1,1,1,1,,6,1,1,2,2,1,0,0,1,0,0,1,0,0,1,2,2,8,1,9,,,,,King County,53033008100,530330081003,11603,Seattle Downtown,499,1,King County,,,53033005301,530330053013,11602,Seattle University Community,304,,,,,,,,,,1,2,7,5,6,6,2,2,1,3,3,3,3,3,3,3,3,,1,1,3,2,5,2,5,4,5,5,2,1,3,4,1,4,,,,-9999,-9999,-9999,-9999,-9999,1,0,0,7,2,148.9735398,74.4867699
17114572,1711457202,2,57,1,5/23/17,1,0,1,5,1,2,1,1,1,,6,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,3,9,1,5,,,King County,53033010900,530330109001,11605,,809,1,King County,,,53033008100,530330081003,11603,Seattle Downtown,510,,,,,,,,,,1,5,6,3,7,7,2,3,1,3,3,3,3,3,3,3,3,,1,1,1,1,4,2,4,3,4,3,2,3,1,3,3,2,3,2,2,2,2,2,3,2,1,0,0,11,2,148.9735398,74.4867699
17114610,1711461001,1,2,2,4/26/17,0,,1,8,2,2,1,1,1,,6,1,1,3,,0,0,0,0,0,0,1,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,6,2,7,7,1,1,2,3,3,3,2,3,3,3,3,,1,1,1,1,3,3,,,3,3,3,2,2,2,2,2,2,2,2,6,6,6,6,6,,0,0,10,1,583.612331,583.612331
17114610,1711461002,2,2,2,4/26/17,1,,2,8,1,1,1,1,1,,6,1,1,3,,0,0,0,0,0,0,1,0,0,1,2,1,1,4,5,1,5,,,King County,53033032309,530330323092,11607,Redmond Downtown,1655,1,King County,,,53033022803,530330228033,11607,Redmond-Overlake,1615,,,,,,,,,,1,2,5,3,7,7,1,1,2,3,3,3,3,3,3,3,3,,3,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,,,,-9999,-9999,-9999,-9999,-9999,,0,0,3,1,583.612331,583.612331
17114610,1711461003,3,2,2,4/26/17,2,,2,5,2,7,,0,1,,2,3,,6,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,3,7,7,1,1,2,3,3,3,2,3,3,3,3,,,,,,5,5,,,5,5,5,3,3,3,3,3,2,2,2,6,6,6,6,6,,0,0,8,1,583.612331,583.612331
17114626,1711462601,1,55,2,5/23/17,0,,1,9,2,1,1,1,1,,5,1,1,1,2,1,1,0,0,0,0,0,0,0,1,2,2,8,2,2,,,,,King County,53033007300,530330073003,11603,Seattle South Lake Union,432,1,King County,,,53033011200,530330112002,11605,,806,,,,,,,,,,1,1,7,3,7,5,2,3,1,3,3,3,3,3,3,3,3,,1,1,3,1,3,2,4,3,4,3,2,2,2,2,2,3,,,,-9999,-9999,-9999,-9999,-9999,,0,0,3,1,14.2454055,14.2454055
17114626,1711462602,2,55,2,5/23/17,6,,3,9,1,3,5,1,1,,3,3,,1,2,1,1,0,0,0,0,0,0,0,2,4,1,1,,1,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,7,7,7,2,3,1,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,1,14.2454055,14.2454055
17114630,1711463001,1,53,1,5/9/17,0,0,3,9,1,1,1,1,1,,6,1,,1,2,1,0,0,0,0,0,1,0,0,1,3,2,8,5,7,,,,,King County,53033008100,530330081002,11603,Seattle Downtown,529,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,10,3,25.74899768,8.582999227
17114640,1711464001,1,56,2,5/18/17,0,,1,11,2,6,,0,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7,4,7,5,2,3,1,3,1,3,3,3,3,3,3,,,,,,5,6,,,5,5,5,1,1,1,1,1,3,3,3,6,6,6,6,6,,0,0,5,1,10.42078977,10.42078977
17114640,1711464002,2,56,2,5/18/17,1,,2,11,1,6,,0,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7,4,7,5,2,3,1,3,1,3,3,3,3,3,3,,,,,,6,3,,,5,5,2,1,1,1,1,1,3,3,3,6,6,6,6,6,,0,0,3,1,10.42078977,10.42078977
17114648,1711464801,1,11,1,4/25/17,0,0,1,8,2,1,1,1,1,,6,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,2,9,1,5,,,King County,53033027701,530330277011,11612,,2084,1,King County,,,53033027702,530330277022,11612,,2086,,,,,,,,,,1,6,7,6,7,7,,,,,,,,,,,,,1,1,1,1,4,4,2,2,2,3,2,1,1,1,2,2,4,4,4,5,5,5,5,5,1,0,1,52,1,3400.629357,3400.629357
17114648,1711464802,2,11,1,4/25/17,2,0,1,5,2,2,1,1,1,,2,3,,2,2,1,0,0,0,0,0,1,0,0,1,4,2,2,1,9,7,6,,,King County,53033027701,530330277013,11612,,2084,3,,,,,,,,,,,,,,,,,,1,6,7,6,7,7,,,,,,,,,,,,,4,4,4,4,5,5,5,5,2,2,3,3,2,3,1,1,4,2,4,6,6,6,6,6,1,0,0,31,1,3400.629357,3400.629357
17114659,1711465901,1,12,1,4/11/17,0,0,3,10,2,2,1,1,1,,7,1,1,1,2,1,0,0,0,0,0,1,0,0,1,5,5,1,1,9,1,5,,,Pierce County,53053071807,530530718071,11503,,3020,1,Pierce County,,,53053061400,530530614003,11501,Tacoma Downtown,2866,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,38,3,2206.417419,735.472473
17114662,1711466201,1,22,2,5/3/17,0,,2,6,2,1,1,1,1,,7,1,2,1,2,1,0,0,1,0,0,0,0,0,1,3,2,1,4,8,2,5,,,King County,53033022803,530330228033,11607,Redmond-Overlake,1615,3,,,,,,,,,,,,,,,,,,1,6,7,3,7,6,,,,,,,,,,,,,3,2,2,2,2,3,3,3,3,3,3,1,1,1,1,1,4,4,4,5,5,5,5,5,,0,0,2,1,16.54026823,16.54026823
17114662,1711466202,2,22,2,5/3/17,1,,1,6,1,1,1,1,1,,7,1,1,1,2,1,0,0,1,0,0,0,0,0,1,3,4,1,2,7,2,5,,,King County,53033022500,530330225004,11607,,1638,2,,San Jose,,,,,,,5,0,,,,,,,,1,5,7,3,7,6,2,3,1,3,3,3,3,3,3,3,3,,3,2,3,2,1,3,1,2,2,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,,0,0,3,1,16.54026823,16.54026823
17114671,1711467101,1,51,2,4/11/17,0,,1,9,1,6,,0,1,,3,3,,1,2,1,0,0,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,1,7,7,2,2,1,3,1,3,3,3,3,3,3,,,,,,5,5,,,5,5,5,3,3,3,3,3,3,3,3,5,5,5,5,5,,0,0,4,1,546.5338599,546.5338599
17114700,1711470001,1,3,2,5/3/17,0,,1,9,1,3,1,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,2,2,2,1,,8,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,5,7,7,1,2,2,3,3,3,3,3,3,3,3,,,,,,4,4,5,4,5,4,4,2,2,2,2,1,6,3,3,4,4,4,6,6,,0,0,2,1,496.092816,496.092816
17114700,1711470002,2,3,2,5/3/17,1,,2,9,2,1,1,1,1,,7,1,2,2,2,1,0,0,0,0,0,1,0,0,1,3,4,1,6,7,1,5,,,King County,53033020900,530330209001,11606,,1879,,,,,,,,,,,,,,,,,,,1,6,6,5,7,7,,,,,,,,,,,,,1,1,1,4,4,3,3,3,5,4,4,3,2,3,2,3,5,5,5,3,3,3,3,6,,0,0,3,1,496.092816,496.092816
17114712,1711471201,1,51,2,5/25/17,0,,1,9,2,6,,0,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,6,1,7,7,1,2,2,3,2,3,3,3,3,3,3,,,,,,2,2,,,5,4,2,1,1,1,1,1,3,3,3,2,2,2,2,6,,0,0,5,1,91.41475324,91.41475324
17114724,1711472401,1,52,2,4/25/17,0,,1,8,2,1,1,1,1,,6,1,1,2,2,1,1,0,0,0,0,0,0,0,1,2,2,1,5,8,2,4,50,0,King County,53033023601,530330236012,11608,,1558,,,,,,,,,,,,,,,,,,,1,6,6,2,7,5,,,,,,,,,,,,,1,1,1,1,5,4,5,5,4,5,4,1,1,1,1,1,4,2,3,4,5,5,5,5,,0,0,5,1,22.18063744,22.18063744
17114724,1711472402,2,52,2,4/25/17,2,,3,3,1,,,0,,4,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033008600,530330086001,11604,Seattle First Hill/Capitol Hill,585,1,5,6,3,,,2,3,1,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,22.18063744,22.18063744
17114734,1711473401,1,59,2,5/2/17,0,,1,9,1,1,2,1,1,,4,1,1,1,2,1,1,0,0,0,0,0,0,0,1,1,1,1,7,9,2,5,,,King County,53033021100,530330211004,11606,,1869,,,,,,,,,,,,,,,,,,,1,6,4,5,7,7,,,,,,,,,,,,,1,1,1,1,5,4,3,3,5,4,4,1,4,1,4,1,2,1,1,4,4,5,4,5,,0,0,0,1,4.462109689,4.462109689
