hhid,personid,pernum,sample_segment,hhgroup,traveldate,relationship,proxy_parent,proxy,age,gender,employment,jobs_count,worker,student,schooltype,education,license,vehicleused,smartphone_type,smartphone_age,smartphone_qualified,race_afam,race_aiak,race_asian,race_hapi,race_hisp,race_white,race_other,race_noanswer,workplace,hours_work,commute_freq,commute_mode,commute_dur,telecommute_freq,wpktyp,workpass,workpass_cost,workpass_cost_dk,work_county,work_tract,work_bg,work_puma10,work_rgcname,work_taz2010,prev_work_wa,prev_work_county,prev_work_tract,prev_work_bg,prev_work_puma10,prev_work_rgcname,prev_work_taz2010,prev_work_notwa_city,prev_work_notwa_zip,prev_work_notwa_state,prev_work_notwa_notus,school_freq,school_loc_county,school_tract,school_bg,school_puma10,school_rgcname,school_taz2010,completed_pref_survey,mode_freq_1,mode_freq_2,mode_freq_3,mode_freq_4,mode_freq_5,tran_pass_1,tran_pass_2,tran_pass_3,tran_pass_4,tran_pass_5,tran_pass_6,tran_pass_7,tran_pass_8,tran_pass_9,tran_pass_10,tran_pass_11,tran_pass_12,benefits_1,benefits_2,benefits_3,benefits_4,av_interest_1,av_interest_2,av_interest_3,av_interest_4,av_interest_5,av_interest_6,av_interest_7,av_concern_1,av_concern_2,av_concern_3,av_concern_4,av_concern_5,wbt_transitmore_1,wbt_transitmore_2,wbt_transitmore_3,wbt_bikemore_1,wbt_bikemore_2,wbt_bikemore_3,wbt_bikemore_4,wbt_bikemore_5,rmove_incentive,call_center,mobile_device,num_trips,nwkdays,hh_wt_revised,hh_day_wt_revised
17112137,1711213703,3,55,2,4/13/17,6,,3,5,2,1,1,1,1,,3,1,2,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,2,9,3,5,,,King County,53033008001,530330080013,11603,Seattle Downtown,447,3,,,,,,,,,,,,,,,,,,1,6,7,4,7,3,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,13.35941623,13.35941623
17112140,1711214001,1,3,2,4/11/17,0,,1,6,2,3,2,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,2,7,1,5,,,King County,53033020700,530330207001,11606,,1848,1,King County,53033025302,530330253022,11610,,1353,,,,,,,,,,,,1,7,7,3,7,7,,,,,,,,,,,,,,,,,5,2,3,5,5,5,2,1,1,1,1,1,6,6,6,5,3,5,4,5,,0,0,4,1,492.9,492.9
17112147,1711214701,1,55,2,5/4/17,0,,1,6,2,1,1,1,1,,6,1,1,2,2,1,0,0,0,0,0,1,0,0,1,2,2,8,1,8,,,,,King County,53033008100,530330081002,11603,Seattle Downtown,522,1,King County,53033009200,530330092001,11603,Seattle Downtown,614,,,,,,,,,,,,1,1,7,3,5,5,2,3,1,3,3,3,3,3,3,3,3,,2,4,3,2,2,1,3,2,3,2,2,2,2,4,1,1,,,,-9999,-9999,-9999,-9999,-9999,,0,0,6,1,184.3596097,184.3596097
17112147,1711214702,2,55,2,5/4/17,1,,2,6,1,1,1,1,2,6,5,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,2,7,97,5,,,King County,53033022500,530330225005,11607,,1668,1,King County,53033004900,530330049002,11601,,321,,,,,8,,,,,,,1,5,7,4,7,5,2,3,1,3,3,3,3,3,3,3,3,,3,2,3,2,1,1,1,5,1,5,1,5,2,5,2,2,6,3,4,4,4,4,4,4,,0,0,8,1,184.3596097,184.3596097
17112149,1711214901,1,55,2,5/4/17,0,,1,7,2,7,,0,1,,6,1,1,2,2,1,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,2,6,6,2,3,1,3,3,3,3,3,3,3,3,,,,,,1,1,,,2,1,1,1,2,2,1,1,2,2,2,1,1,1,2,1,,0,0,5,1,14.61045365,14.61045365
17112149,1711214902,2,55,2,5/4/17,1,,3,8,1,1,1,1,1,,6,1,1,2,1,0,0,0,0,0,0,1,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3,3,6,6,2,3,1,3,3,3,3,3,3,3,3,,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,0,0,4,1,14.61045365,14.61045365
17112231,1711223101,1,31,2,5/11/17,0,,1,7,1,1,1,1,1,,7,1,12,2,2,1,0,0,0,0,0,0,0,1,1,2,2,5,1,7,,,,,King County,53033007300,530330073002,11603,Seattle Downtown,489,2,,,,,,,,33578,,0,,,,,,,,1,6,7,7,2,7,,,,,,,,,,,,,3,4,3,3,5,5,5,2,5,5,5,6,6,6,6,6,2,2,2,2,2,2,2,2,,0,0,4,1,60.93572309,60.93572309
17112231,1711223102,2,31,2,5/11/17,1,,1,6,2,5,,0,1,,7,1,1,2,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,7,7,7,7,1,3,3,3,3,3,3,3,3,3,3,,,,,,5,5,,,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,,0,0,0,1,60.93572309,60.93572309
17112231,1711223103,3,31,2,5/11/17,2,,3,2,2,,,0,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033032328,530330323281,11616,,1927,1,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,60.93572309,60.93572309
17112231,1711223104,4,31,2,5/11/17,2,,3,1,2,,,0,,9,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,60.93572309,60.93572309
17112248,1711224801,1,55,2,4/19/17,0,,1,9,2,1,1,1,1,,6,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,5,7,1,5,,,Snohomish County,53061051000,530610510001,11701,,2624,,,,,,,,,,,,,,,,,,,1,5,7,2,7,6,2,3,3,3,3,3,3,3,3,3,1,,2,2,2,2,3,2,5,4,5,4,1,2,2,3,2,4,6,2,6,4,4,5,5,5,,0,1,5,1,245.8885188,245.8885188
17112248,1711224802,2,55,2,4/19/17,2,,3,5,2,2,1,1,1,,6,1,2,2,2,1,0,0,0,0,0,1,0,0,2,4,2,1,,9,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,3,7,3,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,245.8885188,245.8885188
17112250,1711225001,1,50,2,4/26/17,0,,1,6,1,1,1,1,1,,7,1,1,2,2,1,0,0,1,0,0,0,0,0,1,2,2,9,4,8,,,,,King County,53033022803,530330228033,11607,Redmond-Overlake,1615,2,,,,,,,San Francisco,,5,0,,,,,,,,1,3,3,3,7,5,2,2,1,3,3,2,3,3,3,1,3,,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,,0,1,2,1,48.80250655,48.80250655
17112281,1711228101,1,51,1,4/25/17,0,0,1,6,2,1,1,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,1,2,2,7,2,9,,,,,King County,53033008100,530330081002,11603,Seattle Downtown,512,2,,,,,,,New York City,,32,0,,,,,,,,1,4,5,1,7,6,2,2,1,3,3,3,3,3,3,3,3,,1,1,3,2,2,2,3,4,3,6,2,2,2,2,1,3,3,2,3,1,2,3,3,3,1,0,0,34,4,32.42298973,8.105747434
17112291,1711229101,1,55,2,4/13/17,0,,1,9,2,3,1,1,1,,3,1,1,2,2,1,0,0,0,0,0,1,0,0,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,4,1,7,7,1,2,2,2,2,2,2,2,2,2,2,,,,,,5,5,,,5,5,5,1,1,1,1,1,2,2,2,3,3,3,3,3,,0,0,2,1,13.67950981,13.67950981
17112291,1711229102,2,55,2,4/13/17,1,,1,7,1,3,1,1,1,,6,1,2,2,2,1,0,0,0,0,0,1,0,0,2,3,2,1,,9,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,4,6,6,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,1,1,1,1,1,3,3,3,3,3,3,3,3,,0,0,2,1,13.67950981,13.67950981
17112291,1711229103,3,55,2,4/13/17,5,,3,2,2,,,0,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,King County,53033004900,530330049002,11601,,320,1,5,4,5,,,1,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,13.67950981,13.67950981
17112300,1711230001,1,43,2,4/13/17,0,,1,11,2,6,,0,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,6,1,7,7,,,,,,,,,,,,,,,,,6,6,,,5,5,5,1,2,1,2,2,3,3,3,3,3,5,5,6,,0,0,2,1,4.275,4.275
17112308,1711230801,1,2,2,4/11/17,0,,1,9,1,6,,0,1,,6,1,2,6,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,3,7,7,,,,,,,,,,,,,,,,,5,5,,,5,5,5,2,1,2,1,1,5,5,5,4,5,5,5,5,,0,0,3,1,11362.77607,11362.77607
17112309,1711230901,1,51,1,5/23/17,0,0,1,6,2,1,1,1,1,,7,1,,1,2,1,0,0,0,0,0,1,0,0,1,2,2,12,4,7,,,,,King County,53033009300,530330093002,11605,Seattle Downtown,630,1,King County,53033023700,530330237001,11608,,1580,,,,,,,,,,,,1,1,5,1,6,5,2,1,1,3,3,3,3,3,3,3,3,,2,1,3,2,3,2,5,4,5,3,2,1,2,1,1,1,,,,-9999,-9999,-9999,-9999,-9999,1,0,0,8,1,104.2013455,104.2013455
17112322,1711232201,1,51,2,4/5/17,0,,1,9,2,6,,0,1,,3,1,1,6,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,3,7,7,2,3,1,3,3,3,3,3,3,3,3,,,,,,5,5,,,5,5,5,1,1,1,1,1,4,4,4,5,5,5,5,5,,0,0,3,1,23.225,23.225
17112322,1711232202,2,51,2,4/5/17,1,,3,9,1,1,1,1,1,,3,1,2,2,2,1,0,0,0,0,0,1,0,0,1,2,2,1,5,8,2,3,,1,King County,53033007100,530330071001,11603,,444,,,,,,,,,,,,,,,,,,,1,5,7,5,7,7,2,3,1,3,3,3,3,3,3,3,3,,2,1,3,2,,,,,,,,,,,,,,,,,,,,,,0,0,2,1,23.225,23.225
17112332,1711233201,1,1,2,4/20/17,0,,1,9,4,6,,0,1,,5,1,1,6,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,1,6,6,,,,,,,,,,,,,,,,,5,5,,,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,,0,0,6,1,995.5276166,995.5276166
17112332,1711233202,2,1,2,4/20/17,97,,3,9,4,7,,0,1,,3,3,,6,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,995.5276166,995.5276166
17112361,1711236101,1,2,2,4/25/17,0,,2,10,1,3,1,1,1,,3,1,2,2,2,1,0,0,0,0,0,1,0,0,2,4,4,1,,7,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,1,5,7,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,1,1,1,1,1,4,5,4,3,3,3,4,4,,0,0,5,1,546.9,546.9
17112361,1711236102,2,2,2,4/25/17,1,,1,10,2,3,1,1,1,,7,1,1,2,1,0,0,0,0,0,0,1,0,0,2,5,6,1,,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,1,7,7,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,1,1,1,1,1,4,4,4,3,3,3,3,4,,0,0,7,1,546.9,546.9
17112427,1711242701,1,54,2,5/16/17,0,,1,11,1,6,,0,1,,7,1,1,6,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,3,7,7,,,,,,,,,,,,,,,,,5,5,,,5,5,5,6,6,6,6,6,4,4,4,6,6,6,6,6,,0,0,2,1,16.0903554,16.0903554
17112427,1711242702,2,54,2,5/16/17,1,,1,10,1,6,,0,1,,7,1,1,6,,0,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,4,7,7,,,,,,,,,,,,,,,,,5,5,,,5,5,5,6,6,6,6,6,4,6,4,5,5,5,5,5,,0,0,0,1,16.0903554,16.0903554
17112447,1711244701,1,53,2,5/25/17,0,,1,6,1,1,1,1,1,,6,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,3,1,9,1,5,,,King County,53033023401,530330234013,11608,,1514,1,King County,53033023804,530330238041,11608,Bellevue,1545,,,,,,,,,,,,1,4,3,2,7,3,1,2,2,2,2,2,2,2,2,2,2,,4,2,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,,0,1,3,1,25.45942995,25.45942995
17112448,1711244801,1,43,2,5/23/17,0,,2,6,1,1,1,1,1,,7,1,1,2,1,0,0,0,0,0,0,1,0,0,1,3,2,1,2,8,5,3,,1,King County,53033023804,530330238041,11608,Bellevue,1545,1,Comt̩ de King,53033032309,530330323092,11607,Redmond Downtown,1655,,,,,,,,,,,,1,7,7,5,7,7,,,,,,,,,,,,,4,4,2,2,4,2,2,3,2,3,1,1,2,1,2,1,6,6,6,6,6,6,6,6,,0,0,2,1,4.312812966,4.312812966
17112448,1711244802,2,43,2,5/23/17,1,,1,6,2,5,,0,1,,3,1,13,2,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,King County,,,,,,,,,,,,,,,,,1,3,5,3,7,7,2,3,3,3,3,3,3,3,3,1,3,,,,,,2,1,,,1,3,1,2,2,2,3,2,2,2,2,4,3,4,4,4,,0,0,3,1,4.312812966,4.312812966
17112455,1711245501,1,12,1,5/16/17,0,0,1,9,2,1,2,1,1,,6,1,1,1,2,1,1,0,0,0,0,0,0,0,1,2,2,8,7,9,,,,,King County,53033008200,530330082001,11603,Seattle Downtown,515,,,,,,,,,,,,,,,,,,,1,2,7,3,7,7,2,2,2,2,2,2,2,3,3,3,3,,3,1,3,4,5,5,5,5,5,5,5,5,5,5,5,5,,,,-9999,-9999,-9999,-9999,-9999,2,0,0,25,3,198.9290351,66.30967837
17112468,1711246801,1,3,2,4/6/17,0,,1,9,1,6,,0,1,,3,1,1,2,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,2,7,7,,,,,,,,,,,,,,,,,5,5,,,2,5,5,1,2,1,1,1,4,4,4,4,4,4,4,4,,0,0,2,1,564.835863,564.835863
17112468,1711246802,2,3,2,4/6/17,1,,2,9,2,5,,0,1,,6,1,2,3,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,1,7,7,,,,,,,,,,,,,,,,,5,5,,,5,5,5,1,1,1,1,1,5,5,5,5,5,5,5,5,,0,0,2,1,564.835863,564.835863
17112468,1711246803,3,3,2,4/6/17,2,,3,5,1,7,,0,1,,2,1,5,1,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,7,1,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,564.835863,564.835863
17112471,1711247101,1,51,2,4/11/17,0,,1,11,1,6,,0,1,,7,3,,6,,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,1,7,5,2,2,1,3,1,3,3,3,3,3,3,,,,,,2,1,,,1,2,2,2,1,2,1,1,,,,-9999,-9999,-9999,-9999,-9999,,0,0,5,1,26.82921493,26.82921493
17112484,1711248401,1,53,2,5/9/17,0,,1,6,2,1,1,1,1,,3,3,,1,2,1,0,0,0,0,0,0,1,0,1,3,2,8,1,9,,,,,King County,53033005302,530330053023,11602,Seattle University Community,302,1,King County,53033005302,530330053023,11602,Seattle University Community,302,,,,,,,,,,,,1,1,7,1,7,5,2,3,3,1,3,3,3,3,3,3,3,,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,,,,-9999,-9999,-9999,-9999,-9999,,0,0,2,1,588.6,588.6
17112484,1711248402,2,53,2,5/9/17,6,,3,6,2,2,2,1,1,,3,1,1,2,2,1,0,0,0,0,0,0,0,1,1,4,2,1,1,9,2,5,,,King County,53033032319,530330323194,11616,,1781,1,King County,53033004301,530330043011,11602,Seattle University Community,289,,,,,,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,588.6,588.6
17112484,1711248403,3,53,2,5/9/17,6,,3,5,2,7,,0,3,6,3,3,,6,,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,King County,53033000700,530330007002,11602,,24,1,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,588.6,588.6
17112496,1711249601,1,52,2,5/31/17,0,,1,8,1,1,1,1,1,,6,1,1,2,2,1,0,0,0,0,0,1,0,0,1,1,1,1,6,7,2,5,,,Bonner County,,,,,,,,,,,,,,,,,,,,,,,,1,4,5,5,7,7,1,2,3,3,3,3,3,3,3,3,3,,2,4,2,2,1,1,1,1,1,1,1,2,5,2,2,2,4,4,4,3,2,3,3,3,,0,0,2,1,22.46319249,22.46319249
17112505,1711250501,1,32,1,5/30/17,0,0,3,6,2,1,1,1,1,,6,1,1,1,2,1,0,0,1,0,0,0,0,0,1,2,2,3,1,8,2,5,,,King County,53033027200,530330272002,11611,,922,2,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,31,4,12.225,3.056250001
17112505,1711250502,2,32,1,5/30/17,1,0,3,6,1,1,1,1,1,,6,1,1,1,2,1,0,0,0,0,0,1,0,0,1,2,2,7,2,7,,,,,King County,53033022803,530330228033,11607,,1613,2,,,,,,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,27,4,12.225,3.056250001
17112540,1711254001,1,51,2,5/11/17,0,,1,6,2,1,1,1,1,,6,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,6,2,9,,,,,King County,53033006600,530330066001,11603,,383,2,,,,,,,MORRISVILLE,,33,0,,,,,,,,1,3,2,2,7,7,2,2,1,3,3,3,3,3,3,3,3,,1,1,1,3,2,5,2,2,2,4,2,1,1,1,1,1,2,2,2,,,,,,,0,0,3,1,23.98119762,23.98119762
17112554,1711255401,1,31,1,5/30/17,0,0,3,9,2,2,1,1,1,,7,1,1,1,2,1,0,0,0,0,0,1,0,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,99,3,157.8,52.59999998
17112554,1711255402,2,31,1,5/30/17,2,0,3,5,1,7,,0,3,7,4,3,,1,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,King County,53033022603,530330226031,11607,,1715,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,21,3,157.8,52.59999998
17112564,1711256401,1,58,1,4/11/17,0,0,1,5,1,1,1,1,1,,7,1,,2,2,1,0,0,0,0,0,1,0,0,1,2,2,7,1,9,,,,,King County,53033008100,530330081002,11603,Seattle Downtown,502,3,,,,,,,,,,,,,,,,,,1,3,7,7,6,5,2,2,1,3,3,2,3,3,3,3,3,,3,2,3,2,2,2,3,3,3,3,2,4,2,2,4,4,4,3,4,5,5,5,5,5,1,0,0,21,4,128.7580743,32.18951857
17112575,1711257501,1,54,1,4/11/17,0,0,3,7,1,1,1,1,1,,3,1,1,2,2,1,0,0,0,0,0,1,0,0,1,1,1,1,4,8,2,3,240,0,King County,53033007300,530330073003,11603,Seattle South Lake Union,433,1,King County,53033007300,530330073003,11603,Seattle South Lake Union,433,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,19,4,15.62421812,3.906054531
17112581,1711258101,1,13,2,5/24/17,0,,1,9,1,3,1,1,1,,7,1,1,2,2,1,0,0,0,0,0,1,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,7,2,7,7,1,1,2,2,2,2,2,2,2,2,2,,,,,,4,2,,,3,2,2,3,3,2,1,2,5,3,3,4,4,4,4,4,,1,0,0,1,213.8713309,213.8713309
17112611,1711261101,1,52,2,4/12/17,0,,1,10,2,6,,0,1,,6,1,1,1,2,1,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,3,3,7,7,2,1,1,3,1,3,3,3,3,3,3,,,,,,5,5,,,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,,0,0,4,1,30.51340299,30.51340299
17112637,1711263701,1,51,2,5/25/17,0,,1,9,1,1,1,1,1,,7,2,,3,,0,0,0,0,0,0,1,0,0,1,3,2,7,2,10,,,,,King County,53033007200,530330072001,11603,Seattle Downtown,483,2,,,,,,,Jacksonville Beach,32250,9,0,,,,,,,,1,3,7,1,7,7,2,3,1,3,3,3,3,3,3,3,3,,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,6,6,6,6,6,,0,1,3,1,63.66185017,63.66185017
17112644,1711264401,1,12,2,5/10/17,0,,1,8,2,1,1,1,1,,2,1,1,6,,0,0,0,0,0,0,1,0,0,2,2,2,1,,10,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,7,7,7,,,,,,,,,,,,,1,2,2,2,3,3,6,3,2,3,6,1,1,1,2,2,4,4,6,5,5,5,5,5,,0,0,3,1,4298.081365,4298.081365
17112650,1711265001,1,51,1,4/18/17,0,0,3,6,2,7,,0,2,6,7,1,1,2,2,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,King County,,,,,,,,,,5,King County,53033007200,530330072002,11603,Seattle Downtown,464,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,35,3,26.85861377,8.952871257
17112650,1711265002,2,51,1,4/18/17,1,0,3,6,1,1,1,1,1,,6,1,1,2,2,1,0,0,0,0,0,1,0,0,1,3,2,1,3,7,2,3,295,0,King County,53033007300,530330073003,11603,Seattle South Lake Union,432,1,King County,53033007200,530330072001,11603,Seattle South Lake Union,434,,,,,,King County,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,41,3,26.85861377,8.952871257
17112653,1711265301,1,52,1,5/16/17,0,0,1,9,2,1,2,1,1,,3,1,1,2,2,1,0,0,0,0,0,1,0,0,1,1,2,8,7,9,,,,,King County,53033008400,530330084002,11603,Seattle First Hill/Capitol Hill,583,,,,,,,,,,,,,,,,,,,1,1,2,1,7,7,2,2,2,3,3,3,3,3,3,3,3,,2,1,3,2,3,3,5,5,4,5,2,1,2,5,1,1,,,,,,,,,2,0,1,66,2,22.28540434,11.14270217
17112678,1711267801,1,50,2,5/3/17,0,,1,6,1,1,1,1,1,,7,1,1,1,2,1,0,0,1,0,0,0,0,0,1,3,3,6,3,6,,,,,King County,53033008002,530330080022,11603,Seattle Downtown,467,3,,,,,,,,,,,,,,,,,,1,7,3,2,7,7,,,,,,,,,,,,,3,1,3,2,1,3,2,2,1,1,3,1,3,1,2,2,5,3,3,2,2,1,4,2,,0,0,4,1,379.7936736,379.7936736
17112690,1711269001,1,3,2,5/17/17,0,,1,7,2,1,1,1,1,,6,1,1,6,,0,0,0,0,0,0,1,0,0,1,2,5,9,6,5,,,,,King County,53033022803,530330228033,11607,Redmond-Overlake,1615,,,,,,,,,,,,,,,,,,,1,3,6,2,7,7,2,2,2,3,3,2,3,3,3,1,2,,3,3,2,3,6,4,4,4,4,4,3,2,2,2,2,2,6,6,6,4,4,4,4,4,,0,1,6,1,639.487484,639.487484
17112690,1711269002,2,3,2,5/17/17,1,,2,7,1,2,1,1,1,,6,1,2,2,2,1,0,0,0,0,0,1,0,0,1,5,2,1,4,9,1,5,,,Snohomish County,53061052204,530610522041,11705,,2439,3,,,,,,,,,,,,,,,,,,1,6,6,3,7,7,,,,,,,,,,,,,1,1,1,1,5,5,5,5,5,5,5,2,2,2,2,2,6,6,6,4,4,4,4,4,,0,1,5,1,639.487484,639.487484
17112690,1711269003,3,3,2,5/17/17,2,,3,3,2,,,0,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Snohomish County,53061051912,530610519122,11704,,2553,1,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,639.487484,639.487484
17112690,1711269004,4,3,2,5/17/17,2,,3,2,2,,,0,,3,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Snohomish County,53061051912,530610519122,11704,,2553,1,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,2,1,639.487484,639.487484
17112795,1711279501,1,53,1,4/25/17,0,0,1,5,2,2,1,1,3,6,6,1,1,2,2,1,0,0,0,0,0,1,0,0,1,4,2,7,1,10,,,,,King County,53033005302,530330053023,11602,Seattle University Community,302,2,,,,,,,Gettysburg,,38,0,1,King County,53033005302,530330053023,11602,Seattle University Community,302,1,2,6,1,7,7,2,3,3,1,3,3,3,3,3,3,3,3,1,1,1,1,4,2,4,3,4,2,2,2,2,2,2,2,,,,-9999,-9999,-9999,-9999,-9999,1,0,0,38,2,25.86474515,12.93237258
17112800,1711280001,1,2,2,5/18/17,0,,1,9,2,1,1,1,1,,5,1,1,1,2,1,0,0,0,0,0,0,0,1,1,3,2,1,6,9,1,5,,,Kitsap County,53035091201,530350912011,11801,Silverdale,3525,,,,,,,,,,,,,,,,,,,1,7,7,3,7,7,,,,,,,,,,,,,3,2,2,2,6,6,5,3,6,5,3,1,1,1,1,1,2,2,2,4,4,4,4,4,,0,1,3,1,546.9,546.9
17112800,1711280002,2,2,2,5/18/17,1,,1,9,1,6,,0,1,,2,1,2,1,2,1,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,3,7,7,,,,,,,,,,,,,,,,,6,6,,,6,6,6,2,1,2,1,2,2,2,2,6,6,6,6,6,,0,1,1,1,546.9,546.9
17112805,1711280501,1,51,2,4/13/17,0,,1,8,2,1,1,1,1,,4,1,,2,2,1,0,0,0,0,0,1,0,0,1,3,2,8,7,9,,,,,King County,53033023801,530330238011,11608,,1534,,,,,,,,,,,,,,,,,,,1,1,7,3,7,6,2,2,1,3,3,3,3,3,3,3,3,,1,1,3,1,5,5,5,5,5,5,5,1,2,1,1,2,,,,-9999,-9999,-9999,-9999,-9999,,0,0,7,1,25.07485447,25.07485447
17112810,1711281001,1,55,1,4/18/17,0,0,1,7,2,3,1,1,1,,6,1,1,2,2,1,0,0,0,0,0,1,0,0,2,3,4,1,,10,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,5,7,7,,,,,,,,,,,,,,,,,5,4,5,5,5,5,4,1,1,1,1,1,6,6,6,5,5,5,5,5,1,0,1,39,4,16.12564207,4.031410517
